Timestamp,IR Presence (Lane 1–4),Vehicle Count,Avg Speed (km/h),Vehicle Types Detected,Vehicle Density (%),Traffic Congestion Level
08:44:00,"[1, 0, 1, 0]",54,27.8,"37 Ambulance, 60 Patrol, 65 Trucks",80,High
08:45:00,"[0, 0, 0, 1]",194,39.9,"87 Vans, 81 Ambulance",32,Medium
08:46:00,"[1, 0, 0, 0]",111,29.4,"25 Cars, 65 Trucks, 60 Trucks, 21 Vans",50,Medium
08:47:00,"[1, 1, 0, 1]",158,35.6,"11 Vans, 45 Trucks, 85 Vans",90,High
08:48:00,"[0, 0, 0, 0]",136,36.4,"39 Bikes, 75 Trucks, 14 Ambulance",42,Medium
08:49:00,"[0, 1, 1, 0]",155,25.5,"29 Cars, 44 Vans",36,Medium
08:50:00,"[1, 0, 1, 0]",178,49.1,"71 Patrol, 60 Ambulance, 50 Vans",42,Medium
08:51:00,"[1, 0, 0, 0]",150,43.3,"33 Patrol, 84 Patrol, 94 Patrol",68,Medium
08:52:00,"[0, 0, 0, 1]",85,48.2,"24 Trucks, 43 Bikes, 89 Patrol, 66 Cars",46,Low
08:53:00,"[1, 0, 0, 1]",132,46.8,"18 Ambulance, 100 Bikes, 47 Bikes, 66 Bikes",56,Medium
08:54:00,"[1, 0, 1, 1]",179,37.9,"67 Cars, 82 Fire Extinguisher",67,Medium
08:55:00,"[0, 1, 0, 0]",58,47.7,"71 Patrol, 45 Vans, 19 Cars",68,Medium
08:56:00,"[1, 1, 1, 1]",192,22.7,"78 Cars, 30 Bikes, 83 Fire Extinguisher, 15 Fire Extinguisher",71,High
08:57:00,"[0, 0, 1, 0]",138,25.9,"16 Bikes, 92 Patrol",64,Medium
08:58:00,"[1, 0, 1, 1]",103,21.4,"37 Ambulance, 22 Fire Extinguisher, 56 Fire Extinguisher, 69 Trucks",68,Medium
08:59:00,"[0, 1, 0, 1]",199,29.8,"72 Patrol, 75 Bikes, 26 Fire Extinguisher, 56 Bikes",72,High
09:00:00,"[0, 1, 1, 1]",106,31.7,"18 Vans, 38 Ambulance, 32 Cars",47,Medium
09:01:00,"[1, 1, 1, 1]",77,28.1,"57 Bikes, 78 Cars",82,High
09:02:00,"[0, 0, 1, 1]",101,44.9,"85 Fire Extinguisher, 36 Ambulance, 90 Trucks, 78 Cars",35,Medium
09:03:00,"[0, 0, 0, 1]",178,30.7,"48 Cars, 50 Bikes",56,Medium
09:04:00,"[0, 1, 1, 0]",116,28.4,"80 Cars, 85 Cars, 31 Trucks, 87 Trucks",90,High
09:05:00,"[0, 1, 0, 1]",192,36.3,"67 Ambulance, 45 Ambulance, 53 Cars, 49 Vans",54,Medium
09:06:00,"[1, 0, 0, 0]",52,24.2,"24 Ambulance, 98 Patrol",52,Medium
09:07:00,"[0, 0, 1, 1]",78,44.1,"14 Patrol, 95 Bikes, 99 Ambulance, 84 Bikes",69,Medium
09:08:00,"[1, 0, 1, 1]",77,22.2,"58 Vans, 49 Vans",56,Medium
09:09:00,"[1, 0, 1, 1]",180,49.6,"61 Patrol, 33 Ambulance, 16 Bikes",37,Medium
09:10:00,"[1, 0, 1, 1]",154,43.2,"100 Patrol, 34 Ambulance, 91 Fire Extinguisher",45,Medium
09:11:00,"[0, 0, 1, 1]",64,26.0,"55 Cars, 90 Fire Extinguisher",32,Low
09:12:00,"[1, 0, 0, 1]",65,20.2,"32 Bikes, 75 Bikes, 26 Ambulance",77,High
09:13:00,"[0, 1, 1, 0]",102,44.5,"97 Vans, 87 Bikes, 63 Vans",54,Medium
09:14:00,"[1, 0, 0, 1]",84,41.2,"61 Vans, 97 Bikes",65,Medium
09:15:00,"[1, 1, 1, 1]",179,41.9,"10 Cars, 44 Ambulance, 16 Bikes",83,High
09:16:00,"[1, 0, 0, 0]",125,43.1,"31 Fire Extinguisher, 46 Cars, 48 Trucks",74,High
09:17:00,"[1, 1, 1, 0]",92,22.2,"80 Trucks, 73 Bikes",41,Low
09:18:00,"[0, 1, 0, 0]",143,30.8,"95 Fire Extinguisher, 78 Fire Extinguisher",63,Medium
09:19:00,"[1, 1, 0, 1]",189,23.5,"79 Vans, 60 Cars, 40 Patrol, 49 Vans",60,Medium
09:20:00,"[0, 0, 0, 1]",131,45.9,"45 Fire Extinguisher, 87 Bikes",75,High
09:21:00,"[1, 0, 1, 0]",173,38.7,"34 Ambulance, 87 Patrol",49,Medium
09:22:00,"[1, 0, 0, 1]",73,29.9,"23 Trucks, 32 Fire Extinguisher, 33 Patrol",32,Low
09:23:00,"[0, 1, 1, 1]",160,21.9,"12 Cars, 33 Trucks, 81 Trucks",43,Medium
09:24:00,"[1, 1, 1, 0]",151,29.3,"15 Fire Extinguisher, 87 Trucks, 60 Vans, 29 Patrol",55,Medium
09:25:00,"[1, 0, 1, 0]",185,29.8,"39 Vans, 30 Bikes",41,Medium
09:26:00,"[0, 1, 1, 0]",86,41.9,"77 Patrol, 91 Trucks",50,Medium
09:27:00,"[1, 1, 1, 0]",166,39.1,"26 Bikes, 64 Ambulance",56,Medium
09:28:00,"[1, 0, 1, 1]",145,46.6,"84 Trucks, 97 Ambulance",38,Medium
09:29:00,"[0, 1, 0, 0]",91,34.2,"42 Vans, 53 Patrol",41,Low
09:30:00,"[1, 0, 0, 0]",84,23.6,"84 Fire Extinguisher, 90 Patrol",85,High
09:31:00,"[1, 1, 0, 0]",70,41.4,"41 Patrol, 61 Bikes, 79 Bikes, 72 Ambulance",87,High
09:32:00,"[0, 1, 1, 1]",108,42.8,"51 Bikes, 70 Patrol, 29 Patrol, 76 Patrol",48,Medium
09:33:00,"[0, 0, 1, 1]",60,36.8,"31 Bikes, 17 Fire Extinguisher",47,Low
09:34:00,"[1, 0, 1, 1]",198,43.1,"61 Patrol, 13 Bikes, 17 Bikes",70,High
09:35:00,"[1, 1, 0, 0]",122,34.8,"99 Trucks, 53 Patrol, 90 Ambulance",66,Medium
09:36:00,"[1, 1, 1, 0]",197,35.7,"76 Ambulance, 87 Vans, 86 Fire Extinguisher, 97 Bikes",69,Medium
09:37:00,"[1, 1, 1, 0]",113,32.8,"92 Fire Extinguisher, 54 Fire Extinguisher, 65 Trucks, 38 Cars",90,High
09:38:00,"[0, 0, 1, 0]",117,20.8,"43 Trucks, 72 Trucks",46,Medium
09:39:00,"[0, 0, 0, 0]",83,23.2,"22 Patrol, 64 Fire Extinguisher, 54 Patrol, 69 Fire Extinguisher",37,Low
09:40:00,"[0, 0, 1, 1]",64,20.9,"53 Bikes, 31 Vans",66,Medium
09:41:00,"[1, 1, 0, 1]",147,39.1,"68 Cars, 80 Cars",63,Medium
09:42:00,"[1, 0, 0, 1]",158,29.4,"11 Vans, 94 Cars",73,High
09:43:00,"[1, 1, 1, 1]",155,35.3,"32 Fire Extinguisher, 34 Bikes, 49 Vans",80,High
09:44:00,"[0, 1, 1, 0]",191,47.2,"48 Ambulance, 37 Bikes, 68 Trucks, 86 Patrol",61,Medium
09:45:00,"[1, 1, 1, 1]",127,27.5,"60 Cars, 60 Fire Extinguisher, 68 Vans",84,High
09:46:00,"[1, 0, 1, 0]",188,32.3,"79 Vans, 50 Patrol, 29 Trucks",81,High
09:47:00,"[1, 1, 0, 0]",54,42.7,"27 Fire Extinguisher, 12 Vans, 56 Patrol",66,Medium
09:48:00,"[1, 0, 0, 1]",178,26.9,"89 Bikes, 82 Trucks, 84 Patrol",34,Medium
09:49:00,"[0, 1, 0, 0]",78,22.3,"84 Trucks, 51 Cars, 12 Vans",71,High
09:50:00,"[0, 0, 1, 0]",174,28.7,"34 Trucks, 34 Bikes",47,Medium
09:51:00,"[1, 0, 0, 1]",186,24.8,"59 Patrol, 74 Ambulance, 54 Patrol",36,Medium
09:52:00,"[0, 0, 0, 1]",149,47.9,"27 Fire Extinguisher, 22 Patrol, 12 Ambulance, 83 Patrol",60,Medium
09:53:00,"[1, 0, 0, 0]",127,44.2,"80 Patrol, 93 Cars, 32 Cars",57,Medium
09:54:00,"[0, 1, 0, 1]",158,39.0,"80 Ambulance, 61 Vans",88,High
09:55:00,"[1, 1, 0, 0]",135,46.1,"99 Fire Extinguisher, 14 Fire Extinguisher, 65 Fire Extinguisher, 44 Bikes",85,High
09:56:00,"[0, 1, 1, 1]",120,44.1,"54 Patrol, 44 Trucks, 77 Cars, 50 Fire Extinguisher",39,Medium
09:57:00,"[0, 0, 1, 0]",174,25.6,"14 Ambulance, 79 Bikes, 69 Cars",80,High
09:58:00,"[1, 0, 0, 0]",159,46.8,"52 Cars, 76 Patrol, 94 Ambulance",81,High
09:59:00,"[0, 0, 0, 1]",148,36.2,"74 Vans, 20 Cars, 87 Trucks",30,Medium
10:00:00,"[1, 0, 1, 1]",106,44.2,"76 Fire Extinguisher, 76 Cars",77,High
10:01:00,"[0, 1, 1, 0]",120,46.9,"55 Fire Extinguisher, 68 Patrol, 78 Bikes",40,Medium
10:02:00,"[0, 1, 1, 1]",80,29.5,"76 Trucks, 83 Ambulance, 93 Trucks",52,Medium
10:03:00,"[1, 0, 1, 0]",108,23.3,"15 Ambulance, 14 Patrol",84,High
10:04:00,"[1, 1, 0, 0]",74,26.8,"46 Fire Extinguisher, 100 Patrol, 80 Patrol",40,Low
10:05:00,"[0, 1, 0, 0]",172,32.8,"31 Fire Extinguisher, 53 Trucks, 25 Fire Extinguisher",32,Medium
10:06:00,"[0, 1, 0, 0]",103,44.5,"60 Bikes, 33 Vans, 15 Fire Extinguisher",85,High
10:07:00,"[0, 1, 1, 0]",82,45.8,"22 Cars, 61 Vans",72,High
10:08:00,"[1, 0, 0, 0]",86,20.2,"34 Patrol, 54 Vans, 99 Bikes",35,Low
10:09:00,"[1, 0, 1, 1]",129,35.3,"22 Fire Extinguisher, 18 Cars, 50 Bikes",75,High
10:10:00,"[0, 1, 1, 1]",81,32.5,"78 Trucks, 95 Vans, 29 Fire Extinguisher",78,High
10:11:00,"[1, 0, 1, 0]",192,26.7,"86 Bikes, 61 Bikes, 34 Ambulance, 86 Ambulance",46,Medium
10:12:00,"[1, 0, 0, 0]",106,23.6,"13 Patrol, 25 Ambulance",67,Medium
10:13:00,"[0, 1, 1, 0]",174,30.1,"50 Ambulance, 20 Vans",68,Medium
10:14:00,"[1, 1, 0, 0]",70,48.3,"48 Cars, 28 Vans, 100 Bikes, 34 Ambulance",81,High
10:15:00,"[1, 0, 0, 0]",167,29.7,"21 Ambulance, 14 Fire Extinguisher, 41 Patrol, 40 Patrol",89,High
10:16:00,"[1, 1, 0, 0]",177,35.6,"71 Cars, 42 Bikes, 63 Vans",50,Medium
10:17:00,"[0, 0, 1, 0]",165,41.1,"38 Bikes, 52 Patrol",89,High
10:18:00,"[1, 0, 1, 0]",119,30.9,"81 Trucks, 22 Ambulance, 85 Patrol, 81 Bikes",64,Medium
10:19:00,"[0, 1, 0, 1]",132,49.2,"29 Trucks, 71 Patrol",83,High
10:20:00,"[0, 0, 1, 1]",66,48.9,"23 Patrol, 66 Bikes, 14 Patrol, 53 Bikes",41,Low
10:21:00,"[0, 0, 0, 0]",131,27.6,"20 Bikes, 36 Vans",76,High
10:22:00,"[1, 1, 0, 0]",174,34.9,"93 Ambulance, 54 Trucks, 30 Bikes",81,High
10:23:00,"[1, 1, 0, 1]",93,29.0,"23 Trucks, 17 Bikes, 46 Bikes",48,Low
10:24:00,"[0, 0, 1, 0]",51,28.5,"73 Fire Extinguisher, 14 Fire Extinguisher, 17 Cars",80,High
10:25:00,"[0, 1, 1, 0]",58,21.1,"88 Cars, 61 Cars",83,High
10:26:00,"[0, 0, 1, 1]",139,38.3,"44 Trucks, 84 Cars, 60 Trucks, 15 Trucks",60,Medium
10:27:00,"[1, 0, 0, 0]",144,35.1,"34 Fire Extinguisher, 83 Trucks, 72 Patrol",56,Medium
10:28:00,"[0, 1, 1, 0]",164,21.5,"89 Vans, 39 Ambulance, 63 Trucks",80,High
10:29:00,"[0, 0, 0, 0]",199,28.4,"26 Ambulance, 21 Vans",59,Medium
10:30:00,"[1, 1, 0, 1]",80,47.2,"39 Trucks, 59 Fire Extinguisher, 70 Vans, 70 Ambulance",79,High
10:31:00,"[1, 1, 1, 1]",157,27.2,"65 Cars, 64 Fire Extinguisher",69,Medium
10:32:00,"[0, 1, 0, 0]",136,24.3,"52 Cars, 79 Vans, 26 Vans, 45 Trucks",49,Medium
10:33:00,"[1, 1, 1, 0]",187,34.7,"61 Ambulance, 62 Bikes, 22 Patrol, 74 Trucks",58,Medium
10:34:00,"[0, 1, 1, 1]",111,49.6,"71 Ambulance, 14 Trucks, 83 Vans, 91 Patrol",51,Medium
10:35:00,"[1, 0, 0, 0]",139,27.3,"18 Vans, 92 Fire Extinguisher, 82 Vans",89,High
10:36:00,"[1, 0, 1, 0]",121,40.2,"83 Vans, 44 Vans, 41 Cars, 99 Trucks",78,High
10:37:00,"[0, 0, 0, 0]",78,42.8,"46 Cars, 56 Bikes, 73 Vans",64,Medium
10:38:00,"[1, 0, 1, 1]",150,27.1,"79 Vans, 53 Ambulance, 37 Patrol",33,Medium
10:39:00,"[1, 0, 1, 0]",119,41.8,"62 Ambulance, 86 Ambulance, 72 Bikes, 34 Vans",61,Medium
10:40:00,"[1, 0, 0, 0]",182,31.0,"89 Ambulance, 100 Cars, 40 Trucks",86,High
10:41:00,"[0, 1, 1, 1]",110,39.0,"82 Bikes, 72 Patrol, 70 Fire Extinguisher, 31 Trucks",72,High
10:42:00,"[0, 0, 1, 1]",117,39.0,"85 Trucks, 55 Bikes, 33 Patrol, 60 Ambulance",88,High
10:43:00,"[1, 1, 0, 0]",76,36.1,"28 Bikes, 85 Bikes",55,Medium
10:44:00,"[0, 1, 0, 0]",108,22.7,"77 Trucks, 27 Ambulance",55,Medium
10:45:00,"[0, 1, 0, 0]",105,45.1,"83 Trucks, 94 Ambulance",84,High
10:46:00,"[0, 0, 0, 1]",173,29.6,"64 Vans, 38 Fire Extinguisher, 84 Ambulance",55,Medium
10:47:00,"[0, 1, 1, 0]",66,25.6,"65 Ambulance, 70 Trucks, 29 Cars",45,Low
10:48:00,"[0, 0, 0, 0]",160,21.2,"61 Vans, 58 Cars, 34 Fire Extinguisher, 32 Bikes",53,Medium
10:49:00,"[1, 0, 0, 1]",145,37.7,"28 Trucks, 92 Trucks, 31 Fire Extinguisher, 100 Fire Extinguisher",70,High
10:50:00,"[1, 1, 1, 0]",63,40.3,"86 Cars, 19 Patrol",41,Low
10:51:00,"[0, 0, 1, 1]",56,20.5,"15 Trucks, 31 Bikes, 26 Fire Extinguisher, 64 Fire Extinguisher",59,Medium
10:52:00,"[0, 1, 1, 0]",74,35.4,"45 Vans, 59 Patrol, 89 Cars",84,High
10:53:00,"[0, 1, 0, 1]",155,26.8,"83 Cars, 44 Ambulance, 48 Ambulance, 39 Vans",86,High
10:54:00,"[1, 1, 1, 0]",146,39.4,"92 Patrol, 57 Patrol, 96 Patrol, 66 Trucks",50,Medium
10:55:00,"[1, 1, 0, 1]",136,25.2,"24 Trucks, 35 Bikes, 27 Bikes",40,Medium
10:56:00,"[0, 1, 1, 1]",131,40.7,"35 Patrol, 19 Cars, 91 Cars, 33 Vans",65,Medium
10:57:00,"[0, 0, 1, 1]",64,31.6,"12 Patrol, 16 Fire Extinguisher",30,Low
10:58:00,"[0, 1, 1, 0]",66,48.1,"34 Cars, 86 Cars, 64 Ambulance",73,High
10:59:00,"[0, 0, 0, 1]",95,24.1,"35 Bikes, 15 Patrol, 92 Vans, 10 Ambulance",90,High
11:00:00,"[0, 1, 1, 1]",179,30.2,"30 Vans, 82 Patrol",67,Medium
11:01:00,"[1, 1, 0, 1]",160,23.4,"72 Trucks, 21 Trucks, 93 Patrol",53,Medium
11:02:00,"[0, 0, 0, 0]",133,47.7,"77 Ambulance, 85 Trucks, 25 Ambulance, 59 Patrol",75,High
11:03:00,"[1, 0, 0, 1]",83,46.3,"17 Cars, 37 Vans",58,Medium
11:04:00,"[1, 1, 0, 1]",101,27.7,"60 Fire Extinguisher, 67 Fire Extinguisher",36,Medium
11:05:00,"[0, 1, 1, 0]",127,39.8,"16 Ambulance, 55 Ambulance",48,Medium
11:06:00,"[1, 1, 0, 1]",59,44.5,"71 Patrol, 18 Ambulance, 59 Cars",37,Low
11:07:00,"[1, 0, 0, 1]",109,36.7,"19 Bikes, 39 Patrol, 25 Cars",66,Medium
11:08:00,"[1, 1, 1, 1]",189,35.9,"55 Bikes, 53 Trucks, 39 Vans",80,High
11:09:00,"[0, 0, 1, 0]",150,27.3,"72 Trucks, 73 Bikes, 38 Bikes, 56 Patrol",40,Medium
11:10:00,"[1, 1, 0, 0]",72,22.8,"56 Trucks, 79 Bikes",35,Low
11:11:00,"[1, 1, 1, 0]",196,46.9,"24 Vans, 50 Cars, 46 Cars, 10 Fire Extinguisher",30,Medium
11:12:00,"[0, 0, 1, 0]",170,47.0,"84 Patrol, 28 Patrol, 98 Vans, 16 Fire Extinguisher",36,Medium
11:13:00,"[1, 0, 1, 1]",166,39.0,"39 Vans, 47 Trucks",61,Medium
11:14:00,"[0, 1, 1, 0]",174,30.2,"14 Trucks, 61 Cars, 80 Patrol, 39 Bikes",53,Medium
11:15:00,"[0, 0, 1, 0]",120,30.5,"88 Fire Extinguisher, 71 Fire Extinguisher, 44 Trucks",84,High
11:16:00,"[1, 1, 1, 0]",122,41.8,"17 Bikes, 73 Fire Extinguisher, 56 Bikes, 54 Fire Extinguisher",38,Medium
11:17:00,"[1, 0, 1, 1]",67,46.9,"86 Cars, 32 Bikes, 40 Vans",32,Low
11:18:00,"[0, 0, 0, 1]",148,46.6,"90 Cars, 29 Cars, 74 Vans, 29 Trucks",87,High
11:19:00,"[0, 0, 1, 1]",64,43.4,"97 Fire Extinguisher, 76 Trucks",54,Medium
11:20:00,"[1, 1, 0, 0]",65,39.3,"70 Patrol, 75 Fire Extinguisher",74,High
11:21:00,"[1, 1, 0, 0]",130,22.5,"85 Fire Extinguisher, 63 Cars",48,Medium
11:22:00,"[0, 1, 1, 0]",113,24.8,"91 Cars, 49 Vans, 32 Patrol, 35 Trucks",83,High
11:23:00,"[0, 0, 0, 1]",57,47.0,"85 Cars, 99 Vans, 90 Bikes, 62 Vans",55,Medium
11:24:00,"[1, 0, 0, 0]",195,38.2,"83 Bikes, 96 Bikes, 91 Trucks, 34 Trucks",54,Medium
11:25:00,"[0, 1, 0, 1]",112,20.3,"74 Vans, 72 Trucks, 12 Trucks",47,Medium
11:26:00,"[0, 1, 1, 0]",62,23.0,"91 Ambulance, 43 Fire Extinguisher, 92 Vans",89,High
11:27:00,"[1, 1, 0, 0]",140,39.9,"58 Cars, 11 Vans, 47 Bikes, 98 Ambulance",68,Medium
11:28:00,"[0, 1, 1, 1]",54,20.2,"23 Ambulance, 90 Patrol, 81 Ambulance, 23 Vans",75,High
11:29:00,"[0, 0, 0, 0]",151,24.8,"54 Fire Extinguisher, 94 Cars, 61 Bikes",41,Medium
11:30:00,"[1, 0, 0, 0]",197,36.5,"54 Patrol, 78 Fire Extinguisher, 93 Bikes, 64 Vans",40,Medium
11:31:00,"[0, 1, 1, 0]",142,40.8,"94 Bikes, 86 Fire Extinguisher, 55 Cars",74,High
11:32:00,"[1, 0, 1, 1]",108,39.6,"82 Bikes, 85 Patrol",79,High
11:33:00,"[0, 1, 0, 1]",150,26.7,"89 Fire Extinguisher, 56 Vans, 59 Fire Extinguisher",36,Medium
11:34:00,"[0, 0, 0, 1]",153,41.4,"59 Cars, 22 Ambulance, 93 Trucks",40,Medium
11:35:00,"[0, 1, 1, 0]",125,27.1,"64 Fire Extinguisher, 43 Bikes, 85 Trucks, 84 Bikes",90,High
11:36:00,"[1, 1, 0, 0]",52,29.8,"33 Ambulance, 91 Patrol",74,High
11:37:00,"[0, 0, 1, 1]",97,42.4,"99 Ambulance, 54 Vans, 80 Vans",74,High
11:38:00,"[1, 1, 1, 0]",113,39.5,"88 Bikes, 90 Trucks",60,Medium
11:39:00,"[0, 1, 1, 1]",198,45.5,"22 Vans, 95 Bikes",55,Medium
11:40:00,"[0, 1, 0, 0]",109,39.7,"34 Ambulance, 60 Bikes",33,Medium
11:41:00,"[0, 0, 0, 1]",130,37.0,"32 Fire Extinguisher, 28 Fire Extinguisher",49,Medium
11:42:00,"[0, 1, 0, 0]",83,22.8,"57 Ambulance, 35 Bikes, 22 Trucks, 36 Ambulance",50,Medium
11:43:00,"[1, 0, 1, 0]",137,31.0,"35 Patrol, 29 Cars",80,High
11:44:00,"[0, 0, 0, 1]",180,28.0,"45 Patrol, 14 Cars, 14 Patrol",59,Medium
11:45:00,"[0, 0, 1, 0]",119,27.3,"89 Ambulance, 91 Vans, 83 Vans",39,Medium
11:46:00,"[0, 0, 1, 1]",96,49.2,"37 Fire Extinguisher, 35 Ambulance, 31 Ambulance, 20 Fire Extinguisher",88,High
11:47:00,"[0, 0, 1, 1]",175,31.8,"73 Vans, 83 Ambulance, 29 Fire Extinguisher",35,Medium
11:48:00,"[1, 1, 0, 0]",199,46.8,"71 Ambulance, 21 Patrol, 71 Patrol, 87 Ambulance",49,Medium
11:49:00,"[0, 1, 0, 0]",68,38.9,"62 Fire Extinguisher, 72 Vans, 13 Patrol",31,Low
11:50:00,"[1, 1, 1, 0]",190,43.8,"18 Trucks, 66 Vans, 55 Ambulance, 34 Patrol",41,Medium
11:51:00,"[1, 0, 0, 1]",142,35.1,"46 Bikes, 96 Vans, 56 Ambulance",56,Medium
11:52:00,"[1, 0, 0, 1]",138,37.3,"72 Ambulance, 65 Trucks, 74 Patrol, 12 Ambulance",70,High
11:53:00,"[0, 1, 1, 0]",199,34.8,"93 Ambulance, 43 Vans, 61 Fire Extinguisher",66,Medium
11:54:00,"[0, 1, 1, 1]",128,25.9,"85 Ambulance, 10 Cars, 32 Patrol, 71 Ambulance",71,High
11:55:00,"[1, 0, 0, 1]",53,41.7,"31 Cars, 53 Ambulance, 43 Bikes",74,High
11:56:00,"[0, 0, 0, 0]",110,28.4,"33 Bikes, 66 Ambulance, 52 Bikes",89,High
11:57:00,"[1, 0, 1, 1]",135,20.7,"14 Trucks, 53 Trucks, 79 Cars",72,High
11:58:00,"[1, 0, 1, 1]",165,39.4,"94 Trucks, 66 Bikes, 71 Ambulance, 49 Fire Extinguisher",71,High
11:59:00,"[0, 1, 1, 0]",168,25.3,"22 Ambulance, 30 Patrol",36,Medium
12:00:00,"[1, 1, 0, 0]",53,48.2,"53 Ambulance, 71 Cars, 69 Patrol, 78 Fire Extinguisher",44,Low
12:01:00,"[0, 0, 1, 0]",200,48.6,"49 Bikes, 59 Trucks",64,Medium
12:02:00,"[1, 0, 1, 0]",111,47.4,"50 Fire Extinguisher, 90 Cars, 63 Patrol",87,High
12:03:00,"[0, 1, 1, 0]",145,31.1,"27 Trucks, 84 Trucks",40,Medium
